Title,Author,Description,Date,Score Rating,URL,Image,Bottom Line,Pros,Cons
Bulbrite Solana Smart Filament Light Bulb Review: See the light,Christopher Close,The Solana line of smart bulbs combine vintage charm with modern conveniences such as app and voice control.,2020-02-26,3.5,https://www.imore.com/bulbrite-solana-smart-filament-light-bulb-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/02/bulbrite-solana-filament-review-hero.jpg?itok=UZNUFyAN," Bulbrite's Solana line offers excellent looks and convenient controls all at an affordable price. If you are in the market for a stylish alternative to the traditional smart bulb and don't mind missing out on HomeKit, then the Solana bulbs should definitely be on your radar.",,
ConnectSense Smart In-Wall Outlet Review: Clean convenience,Christopher Close,"The ConnectSense Smart In-Wall Outlet offers all of the convenience of a smart plug, without the ugly bulk.",2020-02-19,4,https://www.imore.com/connectsense-smart-wall-outlet-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/02/connectsense-smart-inwall-outlet-review-hero.jpeg?itok=bnPsHq0M," The ConnectSense Smart In-Wall Outlet offers all of the connected goodies as standard smart plugs, without the added bulk. Fast response times, reliable connectivity, and energy monitoring make it a great option for those that want convenience, but don't want to compromise on design.",,
Waterfield Boot Camp Gym Bag review: Just right-sized,Karen S Freeman,"Waterfield's Boot Camp Gym Bag is just the right size for your gym essentials and fits inside most lockers. Plus, it looks so good, you might just be more excited than usual to get to the gym.",2020-03-03,4.5,https://www.imore.com/waterfield-boot-camp-gym-bag-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/02/waterfield-bootcamp-gym-bag-lifestyle.jpeg?itok=42XNy42z, This thoughtfully-designed bag is perfect for the gym and much more.,,
Marseille mClassic review: Improved anti-aliasing for Nintendo Switch and Xbox One,Asher Madan,"A few weeks ago, a device called the Marseille mClassic arrived at my doorstep. The company advertises it as the ""world's first add-on graphics processor"" for consoles, and it's supposed to dramatically enhance titles being displayed in 4K. Read this review to learn more.",2020-03-05,,https://www.imore.com/marseille-mclassic-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/03/mclassic_0-3wmg.jpg?itok=U__su-bL," If you game regularly on a 4K TV and use a Nintendo Switch or Xbox One, then I would recommend picking up the Marseille mClassic because it'll boost the image quality of sub-1080p games.",,
Picaso Lab Classic Plus MacBook Case review: Hand-crafted leather,Karen S Freeman,"Sure, you can pop your MacBook into a cheap sleeve to protect it on the go, but perhaps it's time to upgrade to something more luxurious.",2020-02-19,4,https://www.imore.com/picaso-lab-classic-plus-macbook-case-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/02/picaso-lab-classic-plus-macbook-case-hero.jpeg?itok=SKBsQAZJ, This hand-crafted premium leather case protects your MacBook beautifully.,,
Affinity Publisher Review: The best dang desktop publishing app around,Jeffery Battersby,"For page layout perfection, built to be easy and effective, Affinity Publisher has my vote.",2020-02-26,5,https://www.imore.com/affinity-publisher-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/02/affinity-publisher-hero.jpg?itok=ARX9QFcW, This desktop publishing program is the cherry on top of the entire Affinity trio and a must-have for self-publishers.,,
Clutch Charger review: Ultra portable power in a pinch,Christine Chan,What's slim enough to fit in your wallet but also packs in 2300mAh of power? The super handy Clutch Charger!,2020-02-20,4,https://www.imore.com/clutch-charger-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/02/clutch-charger-built-in-cable-compare.jpg?itok=c7E01IF2,": The Clutch Charger may only pack in 2300mAh of power, but what it lacks in capacity it makes up for in convenience. It's super thin at only .15-inches, so it can fit into most wallets without an issue. It also has a built-in charging cable within the metal encasing.",,
"Schlage Sense Smart Deadbolt Review: Sleek, smart, and secure",Christopher Close,"This smart deadbolt from Schlage is easy to install, works with HomeKit out of the box, and has a clean modern design.",2020-02-24,4,https://www.imore.com/schlage-sense-smart-deadbolt-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/02/schlage-sense-review-4.jpg?itok=07tmuL2O," The Schlage Sense is an easy to install, reliable, HomeKit connected deadbolt that also happens to have a gorgeous keypad design. Even though Alexa and Google Assistant require a separate Wi-Fi adapter, the Sense is still one of the best deadbolts around.",,
Nexar Beam Dash Cam review: Simple and accessible dash cam for everyone,Christine Chan,"The Nexar Beam is a small and discreet dash cam that connects with your phone, allowing you to view footage anywhere. Is this investment worth your time? Absolutely.",2020-02-25,4,https://www.imore.com/nexar-beam-dash-cam-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/02/nexar-beam-dash-cam-front.jpg?itok=_5jXzqzD,": The Nexar Beam is small and compact enough to fit inconspicuously behind your rearview mirror. It only takes five minutes to set up and has crisp and clear 1080p HD video recording with a super wide-angle field of view. It connects to your iPhone (or Android) and has unlimited Nexar Cloud storage, allowing you to view your footage anywhere conveniently.",,
Clockwork Synergy Seat Belt NATO Apple Watch Band review: Durable good looks,Karen S Freeman,Have you been searching for an Apple Watch band that can stand up to your many adventures but look good doing it? Check out the latest band from Clockwork Synergy.,2020-02-27,4.5,https://www.imore.com/clockwork-synergy-seat-belt-nato-apple-watch-band-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/02/clockwork-synergy-seat-belt-nato-apple-watch-band-hero.jpeg?itok=GS5ckRXf, This Apple Watch band made from seat belt fabric looks sharp and wears tough.,,
