PIC,Title,Author,Pros,Cons,OCN,Summary,Verdict,URL,Date
https://i.rtings.com/images/reviews/headphones/1more/quad-driver-in-ear/quad-driver-in-ear-design-medium.jpg,1More Quad Driver Review,Sam Vafaei,Above-average audio reproduction.,Sub-Par noise isolation.,Headphones,The 1More Quad Driver are decently versatile wired in-ears with a better build quality than the often recommended 1More Triple Driver. They have a comparable per...,,https://www.rtings.com/headphones/reviews/1more/quad-driver,2018-05-01
https://i.rtings.com/images/reviews/tv/element/fire-tv/fire-tv-design-medium.jpg,"Element Amazon Fire TV Review (EL4KAMZ4317, EL4KAMZ5017, EL4KAMZ5517, EL4KAMZ6517)",Daniel O'Keeffe,High contrast gives deep and uniform blacks,Picture quality degrades at an angle,TV,"The Element Amazon Fire TV is a decent 4k LED TV that features Amazon's Fire TV smart platform with their Alexa personal assistant. It has good contrast, but its...",,https://www.rtings.com/tv/reviews/element/amazon-fire-tv,2017-08-07
https://i.rtings.com/images/reviews/tv/lg/uk6570/uk6570-design-medium.jpg,"LG UK6570 Review (70UK6570, 75UK6570, 86UK6570)",Adam Babcock,Image remains accurate when viewed at an angle,Disappointing dark room performance,TV,"The LG UK6570PUB is a good 4k IPS TV with wide viewing angles and outstanding low input lag, the best we've tested so far on a TV. It has excellent gradient hand...",,https://www.rtings.com/tv/reviews/lg/uk6570,2018-10-09
https://i.rtings.com/images/reviews/tv/lg/uk6300/uk6300-design-medium.jpg,"LG UK6300 Review (43UK6300, 49UK6300, 50UK6300, 55UK6300, 65UK6300)",Daniel O'Keeffe,Feels responsive with low input lag,Blacks appear gray in a dark room,TV,"The LG UK6300 is a decent RGBW IPS TV with wide viewing angles, so it remains accurate when viewed at an angle. It also has low input lag so feels responsive. Un...",,https://www.rtings.com/tv/reviews/lg/uk6300,2018-05-08
https://i.rtings.com/images/reviews/tv/lg/e7p/e7p-design-medium.jpg,"LG E7 OLED Review (OLED55E7P, OLED65E7P)",Daniel O'Keeffe,Exceptional picture quality thanks to perfect blacks,Static content is temporarily retained on screen,TV,The LG E7 OLED is a great 4k smart TV which features excellent picture quality and a well-rounded set of features that make it a versatile package. It has a dedi...,,https://www.rtings.com/tv/reviews/lg/e7-oled,2017-10-10
https://i.rtings.com/images/reviews/tv/lg/sk8000/sk8000-design-medium.jpg,"LG SK8000 Review (49SK8000, 55SK8000, 65SK8000)",Daniel O'Keeffe,Excellent low input lag,Blacks appear gray and blotchy in a dark room,TV,"The LG SK8000 is a good TV for mixed usage, with only decent picture quality but very good motion handling. When viewed in the dark, the low contrast ratio resul...",,https://www.rtings.com/tv/reviews/lg/sk8000,2018-05-31
https://i.rtings.com/images/reviews/tv/lg/c7/c7-design-medium.jpg,"LG C7 OLED Review (OLED55C7P, OLED65C7P)",Daniel O'Keeffe,Perfect blacks produce an infinite contrast ratio,Temporary retention can happen when static images stay on screen too long,TV,The 4k LG C7 OLED TV offers excellent picture quality thanks to its ability to display true blacks. It's especially good for gaming thanks to its very low input ...,,https://www.rtings.com/tv/reviews/lg/c7-oled,2017-04-13
https://i.rtings.com/images/reviews/tv/lg/uk7700/uk7700-design-medium.jpg,"LG UK7700 Review (55UK7700, 65UK7700)",Daniel O'Keeffe,Feels very responsive due to excellent input lag,Blacks are gray and blotchy in a dark room,TV,The LG UK7700 is a good 4k IPS TV for a wide range of usages. It has good gray uniformity so not much dirty screen effect is noticeable when watching sports or p...,,https://www.rtings.com/tv/reviews/lg/uk7700,2018-07-03
https://i.rtings.com/images/reviews/tv/lg/sk9000/sk9000-design-medium.jpg,"LG SK9000 Review (55SK9000, 65SK9000)",Daniel O'Keeffe,Image remains accurate when viewed at an angle,Blacks appear gray in a dark room,TV,"The Super UHD LG SK 9000 is a 4k TV with very good performance for a range of usages. The picture quality is good in a bright room, and the TV can get bright to ...",,https://www.rtings.com/tv/reviews/lg/sk9000,2018-04-20
https://i.rtings.com/images/reviews/tv/lg/sk9500/sk9500-design-medium.jpg,LG SK9500 Review (65SK9500),Daniel O'Keeffe,Those with wide seating still get an accurate image,Dark scenes appear gray and blotchy,TV,"The LG 65SK9500 Super UHD TV is a 4k IPS TV with great performance. The picture quality is good, but the TV is better suited to bright rooms with wide seating as...",,https://www.rtings.com/tv/reviews/lg/sk9500,2018-06-26
