PIC,Title,Author,Pros,Cons,OCN,Summary,Verdict,URL,Date,Review_Date,Score,Scale,SID,Product_Name
https://i.rtings.com/images/reviews/soundbar/bose/solo-5/solo-5-design-medium.jpg,Bose Solo 5 Review,Jean-Simon Bonneterre,Well-built design. ,Lack of DTS support; poor connectivity options.,Soundbar,"The Bose Solo 5 is a decent sounding soundbar when it comes to stereo content, but it won’t be great for a good surround sound experience. It has a fairly good a...","Okay for mixed usage. The Bose Solo 5 sounds decent, especially for its small size, but only with stereo content. It doesn’t get very loud and lacks quite a bit of bass too. It also lacks height channels and Atmos support, which makes it a sub-par option for movies. It also might not be the best option for bass-heavy music genres. On the upside, it has great mid and treble reproduction and will perform decently well for dialogue-oriented content like podcasts, audiobooks, and TV shows.",https://www.rtings.com/soundbar/reviews/bose/solo-5,2019-09-30,2019-09-30 00:00:00,6.2,10,bose/solo-5,Bose Solo 5
https://i.rtings.com/images/reviews/headphones/1more/quad-driver-in-ear/quad-driver-in-ear-design-medium.jpg,1More Quad Driver Review,Sam Vafaei,Above-average audio reproduction.,Sub-Par noise isolation.,Headphones,The 1More Quad Driver are decently versatile wired in-ears with a better build quality than the often recommended 1More Triple Driver. They have a comparable per...,"The 1More Quad Driver are better-than-average mixed usage headphones. They're a bit less comfortable than the previous model but easy to use and easy to carry around on your person. They have a well-balanced sound that's good for casual and even critical listening. However, they lack a little in isolation so they won't be the ideal headphones for loud environments.",https://www.rtings.com/headphones/reviews/1more/quad-driver,2018-05-01,2018-05-01 00:00:00,5.9,10,1more/quad-driver,1More Quad Driver
https://i.rtings.com/images/reviews/tv/element/fire-tv/fire-tv-design-medium.jpg,"Element Amazon Fire TV Review (EL4KAMZ4317, EL4KAMZ5017, EL4KAMZ5517, EL4KAMZ6517)",Daniel O'Keeffe,High contrast gives deep and uniform blacks,Picture quality degrades at an angle,TV,"The Element Amazon Fire TV is a decent 4k LED TV that features Amazon's Fire TV smart platform with their Alexa personal assistant. It has good contrast, but its...","The Element Fire TV is an average 4k TV with mediocre picture quality. It's not a very competitive package overall, and it doesn't particularly excel at anything. Its smart features are decent, but they are centered around Amazon's services.",https://www.rtings.com/tv/reviews/element/amazon-fire-tv,2017-08-07,2017-08-07 00:00:00,6.6,10,element/amazon-fire-tv,"Element Amazon Fire TV (EL4KAMZ4317, EL4KAMZ5017, EL4KAMZ5517, EL4KAMZ6517)"
https://i.rtings.com/images/reviews/monitor/aoc/cq27g1/cq27g1-design-medium.jpg,AOC CQ27G1 Review,Alexander Tozzi,Incredibly low input lag.,Poor viewing angles.,Monitor,"The AOC CQ27G1 is a 27 inch curved screen, 1440p monitor. It's a great choice for gaming thanks to its incredibly low input lag and quick response time, resultin...","Decent monitor for mixed usage. Gamers will love the incredibly low input lag and great response time, plus it supports FreeSync for a nearly tear-free gaming experience. The 27 inch screen is big enough for productivity, but the viewing angles are poor. It's a decent monitor to watch videos or edit photos with since it displays a wide range of colors and has great out-of-box color accuracy, but it doesn't support HDR content. The contrast ratio is great for dark room viewing and in bright rooms; it doesn't get very bright, but has decent reflection handling.",https://www.rtings.com/monitor/reviews/aoc/cq27g1,2020-03-25,2020-03-25 00:00:00,7.3,10,aoc/cq27g1,AOC CQ27G1
https://i.rtings.com/images/reviews/soundbar/bose/soundbar-500/soundbar-500-design-medium.jpg,Bose Soundbar 500 Review,Dimitris Katsaounis,Very well-built design.,Doesn’t get as loud as other soundbars.,Soundbar,The Bose Soundbar 500 is an okay soundbar when used by itself without the separate sub and back satellites. It doesn’t get as loud as other soundbars but its sou...,"Okay for mixed usage. Without its sub and satellites, the Bose 500 isn’t a great option for movies as it doesn’t support Atmos and lacks quite a bit of sub-bass. The sound profile is still fairly good as it's neutral and well-balanced. This bar is a decent option for voice-oriented content like audiobooks and podcasts and will be versatile for a wide variety of music, but won’t be ideal for bass-heavy genres. It also doesn't get as loud as other bars, but should still be loud enough for most uses.",https://www.rtings.com/soundbar/reviews/bose/soundbar-500,2019-09-30,2019-09-30 00:00:00,6.4,10,bose/soundbar-500,Bose Soundbar 500
https://i.rtings.com/images/reviews/soundbar/amazonbasics/2-1-channel-bluetooth/2-1-channel-bluetooth-design-medium.jpg,AmazonBasics 2.1 Channel Bluetooth Review,Jake Thauvette,Auto-off power saving feature.,Plasticky build with loose fabric cover.,Soundbar,The AmazonBasics 2.1 Channel Bluetooth is an affordable yet simple 2.1 soundbar with an integrated subwoofer. While it may be affordable for those working within...,"Poor for mixed usage. The AmazonBasics 2.1 Channel Bluetooth has an uneven sound signature that tilts towards the bass. Unusually, the thump and rumble in the bass range is also lacking, which isn't great for action movies. For a 2.1 soundbar, it has a mediocre soundstage, which won't really immerse you into your audio either. There are distortion artifacts in the bass range at max volume too, making it less than suitable for house parties. On the positive side, this soundbar has three modes to better enhance your listening experience.",https://www.rtings.com/soundbar/reviews/amazonbasics/2-1-channel-bluetooth,2020-03-23,2020-03-23 00:00:00,4.3,10,amazonbasics/2-1-channel-bluetooth,AmazonBasics 2.1 Channel Bluetooth
https://i.rtings.com/images/reviews/soundbar/bose/soundbar-700/soundbar-700-design-medium.jpg,Bose Soundbar 700 Review,Jean-Simon Bonneterre,Very well-built design.,Diffused sound due to large soundstage.,Soundbar,The Bose Soundbar 700 is a decent 3.0 soundbar. It performs noticeably better than the similar Bose Soundbar 500 thanks to a better frequency response and a more...,"Decent for mixed usage. The Bose Soundbar 700 has a decent stereo frequency response that's fairly well-balanced and neutral, which is great for a wide variety of music genres and voice-oriented content like audiobooks and podcasts. This bar gets loud enough for most content and has a unique and very wide soundstage thanks to their side-firing speakers. However, some may feel it lacks bass, although this can be improved by getting a separate subwoofer. It also doesn’t give the most immersive listening experience with movies, but this setup can easily be upgraded to do so.",https://www.rtings.com/soundbar/reviews/bose/soundbar-700,2019-09-30,2019-09-30 00:00:00,7.3,10,bose/soundbar-700,Bose Soundbar 700
https://i.rtings.com/images/reviews/tv/lg/sj9500/sj9500-design-medium.jpg,LG SJ9500 Review (65SJ9500),Daniel O'Keeffe,Wide viewing angle,Poor black uniformity,TV,"The LG SJ9500 is a high-end 4k LED TV with a wide viewing angle thanks to its use of an IPS-type LCD. Its input lag is low for gaming, and its WebOS smart featur...","The LG SJ9500 is a good TV for a mixed usage. It has a decent picture quality in most environments, and its wide viewing angle makes it easy to find a good viewing position. Unfortunately, its poor blacks cause its picture quality to be less than stellar in a dark room.",https://www.rtings.com/tv/reviews/lg/sj9500,2017-11-13,2017-11-13 00:00:00,7.7,10,lg/sj9500,LG SJ9500 (65SJ9500)
https://i.rtings.com/images/reviews/tv/lg/b7a/b7a-design-medium.jpg,"LG B7/B7A OLED Review (OLED55B7A, OLED65B7A)",Daniel O'Keeffe,Perfectly uniform blacks thanks to infinite contrast,"Static images can get ""stuck"" temporarily",TV,The LG B7 is a high-end 4k OLED smart TV with exceptional picture quality thanks to its infinite contrast ratio and wide viewing angle. It produces little motion...,"The LG B7 is a great TV for a mixed usage. Its picture quality is remarkable, and it features a large set of powerful features that make it a well-rounded set fit for almost any usage.",https://www.rtings.com/tv/reviews/lg/b7-b7a-oled,2017-11-07,2017-11-07 00:00:00,8.6,10,lg/b7-b7a-oled,"LG B7/B7A OLED (OLED55B7A, OLED65B7A)"
https://i.rtings.com/images/reviews/tv/lg/sj8500/sj8500-design-medium.jpg,"LG SJ8500 Review (55SJ8500, 65SJ8500)",Daniel O'Keeffe,Wide viewing angle,Blacks are blotchy and lack contrast,TV,"The LG SJ8500 LED 4k TV is a good smart TV with decent picture quality and better than average viewing angles. It gets decently bright in HDR, and it can display...",Good TV for a mixed usage. The SJ8500 is pretty versatile and has some decent picture quality. Its wide viewing angle makes it a good choice if you have viewing positions to the sides of the TV.,https://www.rtings.com/tv/reviews/lg/sj8500,2017-06-20,2017-06-20 00:00:00,7.5,10,lg/sj8500,"LG SJ8500 (55SJ8500, 65SJ8500)"
