Title,PIC,Summary,Author,Date,Pros,Cons
MacBook Air 2020 review: The most boring Mac is among the best,https://cdn.arstechnica.net/wp-content/uploads/2020/03/MacBook-Air-2020-side-open-760x380.jpeg,"It has a new keyboard, and that’s all most folks need to know.",Samuel Axon,2020-03-28,,
Pixelbook Go review: A cheaper Pixelbook does not come without compromises,https://cdn.arstechnica.net/wp-content/uploads/2019/10/pixelbookgo6-760x380.jpg,Keeping costs low means eliminating some features from Google's new $649 Chromebook.,Valentina Palladino,2019-10-25,,
"2019 16-inch MacBook Pro review: Bye-bye, butterfly",https://cdn.arstechnica.net/wp-content/uploads/2019/11/2019-16-inch-escape-key-760x380.jpeg,Apple’s new laptop seems designed to address three years of user complaints.,Samuel Axon,2019-11-25,,
"HP Elite Dragonfly review: Luxurious, professional, expensive",https://cdn.arstechnica.net/wp-content/uploads/2019/12/elitedragonfly2-760x380.jpg,"This is a whole new look for the Elitebook line, and it starts at $1,549.",Valentina Palladino,2019-12-15,,
"iPadOS review: The iPad is dead, long live the iPad",https://cdn.arstechnica.net/wp-content/uploads/2019/10/iPadOS-header-760x380.png,"Step by step, Apple is taking the iPad in a wholly new direction.",Samuel Axon,2019-10-11,12.9-inch iPad Pro,"
            "
"The 2019 iPad races to the bottom (price-wise), but it’s not so bad down there",https://cdn.arstechnica.net/wp-content/uploads/2019/10/2019-iPad-hero-760x380.jpg,"Apple's new entry-level tablet delivers the basics, and that will be enough for some.",Samuel Axon,2019-10-23,,
"Garmin Vivoactive 4s review: So many fitness features, so little time",https://cdn.arstechnica.net/wp-content/uploads/2019/09/vivoactive4s_11-760x380.jpg,More fitness chops than you'd expect in a $349 device but largely the same smartwatch.,Valentina Palladino,2019-10-01,,
Garmin Venu review: Fitness expertise with many pixels left to fill,https://cdn.arstechnica.net/wp-content/uploads/2019/10/venu20-760x380.jpg,"Garmin dives into AMOLED with this $399 smartwatch, but the execution is shallow.",Valentina Palladino,2019-10-15,Bold and bright AMOLED display.,Only one case size.
HP Spectre x360 13 review: A high-end two-in-one that’s hard to beat,https://cdn.arstechnica.net/wp-content/uploads/2020/01/spectrex36013_2019_14-760x380.jpg,"There wasn't a lot to fix, so HP added a few features to make this convertible even better.",Valentina Palladino,2020-01-13,,
Acer Swift 3 review: Better as a budget device than as a mid-range laptop,https://cdn.arstechnica.net/wp-content/uploads/2019/10/acerswift3_2-760x380.jpg,Our $899 review unit isn't very different from its $479 counterpart.,Valentina Palladino,2019-10-17,Includes USB-A ports and an HDMI port,16:9 aspect ratio
"Dell XPS 13 two-in-one review: Lots to flex, few weaknesses",https://cdn.arstechnica.net/wp-content/uploads/2019/10/xps132in12019_2-760x380.jpg,"The XPS 13 many have been waiting for, but it may not be the two-in-one for everyone.",Valentina Palladino,2019-10-08,,
iPhone 11 review: The most attractive choice in Apple’s best lineup in years,https://cdn.arstechnica.net/wp-content/uploads/2019/09/iPhone-11-notch-hand-760x380.jpg,"It's only a slight update to the iPhone XR, but it's the best iPhone for most.",Samuel Axon,2019-09-29,"
            ","
            "
OK Computer: The iPad Pro 2020 review,https://cdn.arstechnica.net/wp-content/uploads/2020/03/ipad-outside-pumped-760x380.jpg,Pointer support and an AR sensor come to the iPad.,Samuel Axon,2020-03-26,"
            ",
Samsung Galaxy S20 vs. iPhone 11 Pro: A deeper division lurks beneath the spec sheets,https://cdn.arstechnica.net/wp-content/uploads/2020/02/Galaxy-S20-S20-Plus-S20-Ultra-2-760x380.jpg,There are more important concerns for buyers than feature lists.,Samuel Axon,2020-02-13,,
Acer Swift 7 review: Thinness above all else demands many compromises,https://cdn.arstechnica.net/wp-content/uploads/2018/11/swift72018_9-760x380.jpg,"Its design may be impressive, but the whole package doesn't match its $1,699 price.",Valentina Palladino,2018-11-08,Attractive thin design.,No Thunderbolt 3.
Review: Intel’s 9th Gen Core i9 9900K processor hits 5GHz—just at a price,https://cdn.arstechnica.net/wp-content/uploads/2018/11/processor2-760x380.jpg,Intel’s latest has performance to spare for gamers and power users.,Richard Baguley,2018-11-17,,
Huawei Watch GT review: When hardware and software don’t mesh,https://cdn.arstechnica.net/wp-content/uploads/2018/12/huaweiwatchgt14-760x380.jpg,"Huawei's wearable OS could be great, but it doesn't fit this $230 smartwatch.",Valentina Palladino,2018-12-16,,
Withings Pulse HR review: A longer-lasting competitor to Fitbit’s Alta HR,https://cdn.arstechnica.net/wp-content/uploads/2019/01/pulsehr2-760x380.jpg,"A 20-day battery life defines this unassuming, $129 tracker.",Valentina Palladino,2019-01-20,,
Huawei Matebook 13 review: A cheaper Matebook X Pro with killer performance,https://cdn.arstechnica.net/wp-content/uploads/2019/01/matebook13_review_2-760x380.jpg,"This $1,299 laptop is stiff competition for Huawei's own $1,499 Matebook X Pro.",Valentina Palladino,2019-01-29,Minimalist yet sturdy design.,No Thunderbolt 3.
Fitbit Inspire HR review: A worthy $99 investment in your health,https://cdn.arstechnica.net/wp-content/uploads/2019/03/fitbitinspireHR1-760x380.jpg,Fitbit packed many essentials into its $99 replacement for the Alta HR.,Valentina Palladino,2019-03-12,,
2018 iPad Pro review: “What’s a computer?”,https://cdn.arstechnica.net/wp-content/uploads/2018/11/iPad-Pro-2018-smart-cover-lap-760x380.jpg,"The iPad Pro raises the bar for performance, but has too many other limitations.",Samuel Axon,2018-11-07,,
XPS 13 2019 review: One small move made Dell’s best laptop even better,https://cdn.arstechnica.net/wp-content/uploads/2019/02/xps132019_1-760x380.jpg,Key fixes in this year's model mean the $899 XPS 13 has few things holding it back.,Valentina Palladino,2019-02-25,,
"HP Elitebook x360 1040 G5 review: A little bit bigger, a little bit better",https://cdn.arstechnica.net/wp-content/uploads/2019/02/elitebookx3601040_3-760x380.jpg,"It's similar to HP's 13-inch convertible, but extra screen space makes a difference.",Valentina Palladino,2019-02-18,"Relatively compact design, even with its 14-inch display",No microSD card slot
Pixel Slate review: Paying the “Google” premium for Chrome OS,https://cdn.arstechnica.net/wp-content/uploads/2018/11/pixelslate11-760x380.jpg,"Starting at $599, the overpriced tablet showcases Chrome OS' promising tablet future.",Valentina Palladino,2018-11-29,,
Guidemaster: The best Windows ultrabooks you can buy right now,https://cdn.arstechnica.net/wp-content/uploads/2019/03/DSC_7329-760x380.jpg,Ars tests out the biggest flagship laptops to see which are worth your money.,Valentina Palladino,2019-03-20,Geekbench 4,"
            "
iPad Air and iPad mini 2019 review: Apple’s tablets strike an ideal balance,https://cdn.arstechnica.net/wp-content/uploads/2019/04/iPad-mini-home-760x380.jpeg,These are clearly more appealing to most people than Apple's 2018 iPad or iPad Pro.,Samuel Axon,2019-04-16,"
            ","
            "
Mini-review: Fitbit’s Versa Lite favors affordability over unnecessary features,https://cdn.arstechnica.net/wp-content/uploads/2019/03/versalite9-760x380.jpg,"If the original Versa was overkill for you, the Versa Lite may be a better option.",Valentina Palladino,2019-03-23,,
"Blackmagic eGPU Pro mini-review: Quiet, fast, and extremely expensive—like a Mac",https://cdn.arstechnica.net/wp-content/uploads/2019/04/Blackmagic-eGPU-Pro-ports-760x380.jpeg,The higher-end cousin to Blackmagic's first Mac eGPU delivers where it counts.,Samuel Axon,2019-04-26,,
