Title,PIC,Summary,Author,Date,Pros,Cons,URL
ThinkPad X1 Carbon 7th-gen mini-review: Minor updates made to a stellar machine,https://cdn.arstechnica.net/wp-content/uploads/2019/09/x1carbon7thgen_1-760x380.jpg,"Lenovo promised 18 hours of battery life, and it delivered with this $1,462 notebook.",Valentina Palladino,2019-09-13,,,https://arstechnica.com/gadgets/2019/09/thinkpad-x1-carbon-mini-review-now-even-better-with-improved-battery-life/
iOS 13: The Ars Technica review,https://cdn.arstechnica.net/wp-content/uploads/2019/09/IMG_0038-760x380.jpg,There's a lot more to this update than Dark Mode.,Samuel Axon,2019-09-20,iPhone XS,12.9-inch iPad Pro,https://arstechnica.com/gadgets/2019/09/ios-13-the-ars-technica-review/
HP Spectre 15 x360 2019 review: Carving a niche in a crowded space,https://cdn.arstechnica.net/wp-content/uploads/2019/04/HP-x360-Spectre-15-angle-760x380.jpeg,"The ""gem-cut"" design isn't for everybody, but it sure is striking.",Samuel Axon,2019-05-10,,,https://arstechnica.com/gadgets/2019/05/hp-spectre-15-x360-2019-review-carving-a-niche-in-a-crowded-space/
Dell Inspiron 13 7000 review: Premium and practical all in one,https://cdn.arstechnica.net/wp-content/uploads/2019/07/inspiron137000BE_4-760x380.jpg,Dell gives this Inspiron 2-in-1 a glow-up without sacrificing power or features.,Valentina Palladino,2019-07-06,,,https://arstechnica.com/gadgets/2019/07/dell-inspiron-13-7000-review-premium-and-practical-all-in-one/
15-inch MacBook Pro mini-review: How much does Apple’s fastest laptop offer?,https://cdn.arstechnica.net/wp-content/uploads/2019/07/2019-MacBook-Pro-20-760x380.jpeg,We tested it decked-out with an 8-core Core i9 CPU and Vega 20 graphics.,Samuel Axon,2019-07-28,,,https://arstechnica.com/gadgets/2019/07/15-inch-macbook-pro-mini-review-how-much-does-apples-fastest-laptop-offer/
iPhone 11 Pro and 11 Pro Max review: High quality for high prices,https://cdn.arstechnica.net/wp-content/uploads/2019/09/iPhone-11-Pro-and-11-Pro-Max-cameras-1-760x380.jpg,Apple’s new flagship shows the X-series iPhones have matured.,Samuel Axon,2019-09-26,,,https://arstechnica.com/gadgets/2019/09/iphone-11-pro-and-11-pro-max-review-high-quality-for-high-prices/
"Apple Watch Series 5 review: A better, more independent timepiece",https://cdn.arstechnica.net/wp-content/uploads/2019/09/applewatchseries5_7-760x380.jpg,"An always-on display finally comes to the Apple Watch, but watchOS 6 steals the show.",Valentina Palladino,2019-09-25,"
            ",,https://arstechnica.com/gadgets/2019/09/apple-watch-series-5-review-a-better-more-independent-timepiece/
MacBook Air 2020 review: The most boring Mac is among the best,https://cdn.arstechnica.net/wp-content/uploads/2020/03/MacBook-Air-2020-side-open-760x380.jpeg,"It has a new keyboard, and that’s all most folks need to know.",Samuel Axon,2020-03-28,,,https://arstechnica.com/gadgets/2020/03/macbook-air-2020-review-the-most-boring-mac-is-among-the-best/
Lenovo Thinkbook 13s review: ThinkPad influences at a great price,https://cdn.arstechnica.net/wp-content/uploads/2019/08/thinkbook13_1-760x380.jpg,Almost anyone can appreciate this solid Windows laptop that starts at under $750.,Valentina Palladino,2019-09-07,"Modern, professional design",No IR camera,https://arstechnica.com/gadgets/2019/09/lenovo-thinkbook-13s-review-thinkpad-influences-at-a-great-price/
"Garmin Vivoactive 4s review: So many fitness features, so little time",https://cdn.arstechnica.net/wp-content/uploads/2019/09/vivoactive4s_11-760x380.jpg,More fitness chops than you'd expect in a $349 device but largely the same smartwatch.,Valentina Palladino,2019-10-01,,,https://arstechnica.com/gadgets/2019/10/garmin-vivoactive-4s-review-so-many-fitness-features-so-little-time/
iPhone 11 review: The most attractive choice in Apple’s best lineup in years,https://cdn.arstechnica.net/wp-content/uploads/2019/09/iPhone-11-notch-hand-760x380.jpg,"It's only a slight update to the iPhone XR, but it's the best iPhone for most.",Samuel Axon,2019-09-29,"
            ","
            ",https://arstechnica.com/gadgets/2019/09/iphone-11-review-the-sweet-spot-iphone/
"Dell XPS 13 two-in-one review: Lots to flex, few weaknesses",https://cdn.arstechnica.net/wp-content/uploads/2019/10/xps132in12019_2-760x380.jpg,"The XPS 13 many have been waiting for, but it may not be the two-in-one for everyone.",Valentina Palladino,2019-10-08,,,https://arstechnica.com/gadgets/2019/10/dell-xps-13-2-in-1-review-lots-to-flex-few-weaknesses/
Review: Intel’s 9th Gen Core i9 9900K processor hits 5GHz—just at a price,https://cdn.arstechnica.net/wp-content/uploads/2018/11/processor2-760x380.jpg,Intel’s latest has performance to spare for gamers and power users.,Richard Baguley,2018-11-17,,,https://arstechnica.com/gadgets/2018/11/intel-9th-gen-core-i9-9900k-review-top-performance-but-pricey/
2018 iPad Pro review: “What’s a computer?”,https://cdn.arstechnica.net/wp-content/uploads/2018/11/iPad-Pro-2018-smart-cover-lap-760x380.jpg,"The iPad Pro raises the bar for performance, but has too many other limitations.",Samuel Axon,2018-11-07,,,https://arstechnica.com/gadgets/2018/11/2018-ipad-pro-review-whats-a-computer/
