Title,PIC,Summary,Author,Date,Pros,Cons,URL,Source_internal_ID,Product Name,Verdict,OCN
Acer Swift 3 review: Better as a budget device than as a mid-range laptop,https://cdn.arstechnica.net/wp-content/uploads/2019/10/acerswift3_2-760x380.jpg,Our $899 review unit isn't very different from its $479 counterpart.,Valentina Palladino,2019-10-17,Includes USB-A ports and an HDMI port,16:9 aspect ratio,https://arstechnica.com/gadgets/2019/10/acer-swift-3-review-better-as-a-budget-device-than-as-a-mid-range-laptop/,1583717,Acer Swift 3 ,"So while the Acer Swift 3 doesn't have any glaring imperfections, it doesn't provide as much value as other laptops in or near its price range. Many of the necessary features are there on paper—metal body, fingerprint sensor, USB-C along with USB-A, decent battery life, and more—but the Swift 3 doesn't push those features quite as far as I need them to go to recommend it in the $899 configuration that I tested. When I can get more for my money, I almost always will do so, and there are other laptops that give you more for the same price.",gadgets
Garmin Venu review: Fitness expertise with many pixels left to fill,https://cdn.arstechnica.net/wp-content/uploads/2019/10/venu20-760x380.jpg,"Garmin dives into AMOLED with this $399 smartwatch, but the execution is shallow.",Valentina Palladino,2019-10-15,Bold and bright AMOLED display.,Only one case size.,https://arstechnica.com/gadgets/2019/10/garmin-venu-review-fitness-expertise-with-many-pixels-left-to-fill/,1581763,Garmin Venu ,"However, I do believe Garmin can make its software more AMOLED-friendly by using more exciting graphics and animations while also maintaining the stellar battery life that the Venu currently has. Garmin wearables may never be as intuitive as Apple's or Samsung's because they aren't as closely tied to a smartphone OS, but the company can certainly make the experience of using a $399 smartwatch feel more appropriate. If users can get the exact same software experience on a $350 device as they can on a $399 device, most users (who are not display sticklers) will likely choose the more affordable option.",gadgets
"HP Elitebook x360 1040 G5 review: A little bit bigger, a little bit better",https://cdn.arstechnica.net/wp-content/uploads/2019/02/elitebookx3601040_3-760x380.jpg,"It's similar to HP's 13-inch convertible, but extra screen space makes a difference.",Valentina Palladino,2019-02-18,"Relatively compact design, even with its 14-inch display",No microSD card slot,https://arstechnica.com/gadgets/2019/02/hp-elitebook-x360-1040-g5-review-a-little-bit-bigger-a-little-bit-better/,1454279,HP Elitebook x360 1040 G5 ,"But there are some things that HP just can't replicate, like Lenovo's superb typing experience on its ThinkPad X1 family. Some business customers also favor ThinkPads' nondescript design, and you won't get that in an HP business notebook in the same class. But the new Elitebooks are formidable opponents for Lenovo's business notebooks, and customers shouldn't overlook the middle child in the Elitebook x360 family. It's definitely worth the extra cost if you enjoy having a relatively large screen in a small convertible, but those who aren't as picky about screen real estate can opt for the slightly less expensive 13-inch model.",gadgets
HP Spectre x360 13 review: A high-end two-in-one that’s hard to beat,https://cdn.arstechnica.net/wp-content/uploads/2020/01/spectrex36013_2019_14-760x380.jpg,"There wasn't a lot to fix, so HP added a few features to make this convertible even better.",Valentina Palladino,2020-01-13,Camera kill switch and mic-mute button.,Both Thunderbolt 3 charging ports are on the same side.,https://arstechnica.com/gadgets/2020/01/hp-spectre-x360-13-review-a-high-end-2-in-1-thats-hard-to-beat/,1640337,HP Spectre x360 13 ,"Most of my issues with the new Spectre x360 13 are small—the hoarded Thunderbolt 3 ports, the small arrow keys, and the narrow trackpad. Aside from the screen's aspect ratio, I'm most disappointed that the new laptop doesn't last as long as the previous model (20 hours versus a whopping 30.5 hours, respectively, on our Wi-Fi test). But the new Spectre x360 13 still manages to have a battery life that beats out all of the competition, so the reality isn't ",gadgets
Samsung Galaxy S20 vs. iPhone 11 Pro: A deeper division lurks beneath the spec sheets,https://cdn.arstechnica.net/wp-content/uploads/2020/02/Galaxy-S20-S20-Plus-S20-Ultra-2-760x380.jpg,There are more important concerns for buyers than feature lists.,Samuel Axon,2020-02-13,,,https://arstechnica.com/gadgets/2020/02/samsung-galaxy-s20-vs-iphone-11-pro-a-deeper-division-lurks-beneath-the-specs-sheets/,1652297,Samsung Galaxy S20 vs. iPhone 11 Pro: A deeper division lurks beneath the spec sheets,"That doesn't mean it's acceptable to be mean or toxic about these differences. It's important to have productive discussions about the issues at hand. But debates comparing the new Galaxy phone to the latest iPhone ultimately aren't really about the megapixels, and we all know it.",gadgets
MacBook Air 2020 review: The most boring Mac is among the best,https://cdn.arstechnica.net/wp-content/uploads/2020/03/MacBook-Air-2020-side-open-760x380.jpeg,"It has a new keyboard, and that’s all most folks need to know.",Samuel Axon,2020-03-28,"It's the perfect size and shape for most people, and it feels sturdy and easy to grip when carrying",It runs loud and hot when you do something demanding for a long stretch of time,https://arstechnica.com/gadgets/2020/03/macbook-air-2020-review-the-most-boring-mac-is-among-the-best/,1663837,MacBook Air 2020 ,,gadgets
Acer Swift 7 review: Thinness above all else demands many compromises,https://cdn.arstechnica.net/wp-content/uploads/2018/11/swift72018_9-760x380.jpg,"Its design may be impressive, but the whole package doesn't match its $1,699 price.",Valentina Palladino,2018-11-08,Attractive thin design.,No Thunderbolt 3.,https://arstechnica.com/gadgets/2018/11/acer-swift-7-review-thinness-above-all-else-demands-many-compromises/,1404813,Acer Swift 7 ,"Dual LTE connectivity makes the Swift 7 unique, and those who are most intrigued by that feature may want to consider the Swift 7 seriously. However, there are other devices that can be equipped with LTE, namely the forthcoming HP Spectre x360 13 that starts at $1,149, so the combination of thin-and-light and always connected can be found elsewhere. Others who don't absolutely need the thinnest laptop ever should consider more affordable and more powerful options like the ",gadgets
OK Computer: The iPad Pro 2020 review,https://cdn.arstechnica.net/wp-content/uploads/2020/03/ipad-outside-pumped-760x380.jpg,Pointer support and an AR sensor come to the iPad.,Samuel Axon,2020-03-26,"It's the world's best tablet for power users, full stop",App support for all this power and these new features still isn't there,https://arstechnica.com/gadgets/2020/03/ok-computer-the-ipad-pro-2020-review/,1662695,OK Computer: The iPad Pro 2020 review,I'm not sure even Steve Jobs saw where that puck was headed.,gadgets
"HP Elite Dragonfly review: Luxurious, professional, expensive",https://cdn.arstechnica.net/wp-content/uploads/2019/12/elitedragonfly2-760x380.jpg,"This is a whole new look for the Elitebook line, and it starts at $1,549.",Valentina Palladino,2019-12-15,"Attractive, unique design with MIL-spec durability.",16:9 display aspect ratio.,https://arstechnica.com/gadgets/2019/12/hp-elite-dragonfly-review/,1628401,HP Elite Dragonfly ,"Regardless, the HP Elite Dragonfly is an impressively portable and powerful machine, but it's also pricey. Comparable ",gadgets
Pixelbook Go review: A cheaper Pixelbook does not come without compromises,https://cdn.arstechnica.net/wp-content/uploads/2019/10/pixelbookgo6-760x380.jpg,Keeping costs low means eliminating some features from Google's new $649 Chromebook.,Valentina Palladino,2019-10-25,"Thin-and-light, minimalist design.",Glare-filled screen.,https://arstechnica.com/gadgets/2019/10/pixelbook-go-review-a-cheaper-pixelbook-does-not-come-without-compromises/,1587091,Pixelbook Go ,"That competition won't matter to Google hardware enthusiasts, but it's certainly important to Chrome OS enthusiasts looking for the best device for their needs and budgets. And after using the Pixelbook Go for nearly a week, I found myself wishing for a Pixelbook 2.0—I wish Google had come out with two new devices this year: the $649 Pixelbook Go with only two configurations (Core m3 and Core i5) and an updated Pixelbook priced at $999 or more with all of the things we loved about the original, plus new features and internals. Maybe we'll get that in the future, but for now, those considering the Pixelbook Go should only look closely at the two most affordable options. Otherwise, look to the original Pixelbook if you're ready to drop $999 or more on a Google-made Chromebook.",gadgets
