Title,Date,Rating,Author,Summary,OCN,Pros,Cons,Verdict
HP OfficeJet Pro 8022,2020-05-18,8.3,Morten Skeldal Østergaard,Härlig allroundskrivare.,Skrivare, Många funktioner," Problem med nyanser
",Färgskärmen är tydlig och tryckkänslig. Menyerna är på svenska och det är enkelt att styra skrivaren härifrån. Det gör att skrivaren även är en galant kopiator.
Sandberg Commander Gaming Chair RGB,2020-05-13,7.9,Morten Skeldal Østergaard,Spelstol för kontoret.,Diverse, Komfortabel kontorsstol," Klen hållare för batteriet
","Som sig bör kan höjden justeras med en spak under sitsen. Även armstöden kan justeras i höjdled, men det går inte att ändra deras positioner i sidled. Ryggstödet kan fällas så långt bakåt att man närmast ligger ned. Det följer med ett par lösa kuddar som kan placeras där de behövs, till exempel bakom svanken och nacken. Tillsammans gör allt detta att vi i slutändan får en ganska behaglig kontorsstol till ett trots allt rimligt pris. Vi har provat den på redaktionen under flera dagar utan att märka några problem, utom den där batterifickan då."
Google Hangouts,2020-06-17,8.4,Morten Skeldal Østergaard,Hangouts är Googles smidigt integrerade tjänst för videosamtal.,Program appar spel, Fint integrerad i Googles tjänster," Rörigt urval av videoappar
",Det går att videosamtal med flera personer samtidigt. Det fungerar mycket bra. Den person som pratar visas automatiskt med den största bilden. Det går även att se alla deltagare samtidigt.
Lenovo ThinkVision M14,2020-05-27,8.1,Markus Dahlberg,Portabel bildskärm,Skärm, Hög byggkvalitet," Få skärmmenyer
",För den som jobbar mobilt med en dator blir det ofta ont om utrymme på skärmen. Där är ThinkVision det perfekta tillbehöret som verkligen underlättar arbetet. Skärmen är tunn och enkel att ta med. Dessutom skickar Lenovo med ett fodral i filt. Strålande.
Apption Labs Meater Block,2020-05-19,9.7,Morten Skeldal Østergaard,Det utlimata grillverktyget.,Diverse, Bra app," Dyr
","Appen är lätt att förstå sig på, även om den är på engelska. En graf visar hur temperaturen har ändrats under grillningen och det är till exempel intressant att se hur mycket temperaturen sjunker så fort locket på grillen öppnas."
TP-Link AX11000 Tri-Band Gaming Router,2020-05-19,9.6,Henrik Ræder Clausen,Hypersnabb Wi-Fi 6-router med många funktioner.,Router, Höga prestanda," Svårläst användargränssnitt
","Ett stort plus är alla portar. Det går att ansluta hela åtta enheter via kabel och routern kan komma upp i hastigheter på upp till 2,5 gigabit i sekunden. Tack vare något som kallas för Link Aggregation kan en nätverkshårddisk anslutas till två nätverksportar samtidigt för att det ska gå riktigt snabbt att läsa och skriva till den."
Asus ROG Strix Scope PBT,2020-05-05,9.1,Morten Skeldal Østergaard,Ovanligt gediget tangentbord.,Tangentbord, Riktigt bra tangenter,,"ROG Strix Scope ansluts till datorn via en tjock, tygklädd usb-kabel. Det finns räfflor på undersidan för att leda kabeln åt det håll man vill – mycket praktiskt."
Samsung Galaxy A51,2020-03-17,6.9,Morten Skeldal Østergaard,Halvtrist mobil i mellanklassen.,Telefon, Bra skärm, Lite seg,"I skärmens nedre del gömmer det sig en fingeravtrycksläsare. Den är lite trög den också och några gånger lyckas vi inte logga in i telefonen med hjälp av den, utan tvingas knappa in pinkoden i stället. Ingen katastrof, men trist."
Netgear Orbi RBK13,2020-05-04,8.4,Henrik Ræder Clausen,Stabilt meshsystem.,Router, Bra täckning, Låga hastigheter i utkanten,"Våra hastighetsmätningar visar fina topphastigheter på 626 megabit i sekunden, men bara när trafiken går direkt via huvudroutern. Precis som med andra meshsystem faller hastigheterna snabbt när trafiken går via en av satelliterna. I det här fallet mäter vi då upp runt 40 megabit per sekund. Därför bör enheter som kräver mycket bandbredd, som till exempel en smart-tv, vara placerade så att de strömmar via huvudenheten."
Fitbit Aria Air,2020-06-30,8.9,Morten Skeldal Østergaard,Billig smartvåg.,Diverse, Smart våg," Mäter ej fettprocent
","Appen är densamma som används till Fitbits stora utbud av hälsoarmband. Den som har ett sådant får alltså alla data samlade på ett ställe. Då går det inte bara att hålla koll på viktutvecklingen, utan även puls, antal dagliga steg och sömnmönster."
Lenovo ThinkVision P44w-10,2020-05-08,8.5,Markus Dahlberg,Enorm bildskärm som ersätter två 27-tummare.,Skärm, Hög bildkvalitet," Dyr
","Det enda som inte är på topp är knapparna för att styra inställningsmenyerna. De sitter på framsidans nedre högra kant och är där visserligen lätta att nå, men markeringarna för de sex knapparna är otydliga, med resultat att man hela tiden trycker fel. Menyerna finns bara på engelska och för att förstå dem fullt ut måste man leta upp den engelska manualen på internet. Här finns det plats för förbättring."
Lenovo Yoga S940,2020-03-20,9.0,Morten Skeldal Østergaard,Vältrimmat kraftpaket.,Dator, Liten och lätt, Reflexer i skärmen,Datorn laddas via usb c och laddningen kan ske via vilken som helst av de tre usb c-portarna. Det är rätt tänkt och mycket praktiskt eftersom det alltid går att välja den port som är vänd åt det håll där vägguttaget finns.
SteelSeries Apex Pro TKL,2020-02-17,9.3,Morten Skeldal Østergaard,Fintrimningsbart tangentbord.,Tangentbord, Varierbar slaglängd,,"På tangentbordets undersida finns det en rad räfflor där sladden kan tryckas fast, så att användaren kan bestämma var sladden ska komma ut. Smart! En annan bra detalj är handlovsstödet som fästs med magneter."
HyperX Cloud Stinger Wireless,2020-01-23,8.6,Morten Skeldal Østergaard,Trådlöst headset till datorn.,Hörlurar och headset, Godkänd ljudkvalitet," Micro-usb
",Batteritiden anges av HyperX till 17 timmar. Det överensstämmer ungefär med vad vi kommer fram till. Vi kan använda lurarna under tre arbetsdagar innan det behöver laddas igen.
HP Envy x360 Convertible 13-ar0802no,2020-02-06,8.0,Morten Skeldal Østergaard,En blandning mellan dator och surfplatta.,Dator, Liten och lätt, Ingen usb c-laddning,"Till höger om den breda musplattan sitter det en fingeravtrycksläsare, som snabbt loggar in i Windows. Den är formad som en kvadrat och det räcker att lägga fingret på den för att tekniken ska känna av fingeravtrycket."
Trust Torro GXT 698,2020-01-23,7.9,Morten Skeldal Østergaard,Bastung surroundanläggning till datorn.,Högtalare, Utmärkt surroundljud, Dominant bas,
Netgear Orbi AX6000,2020-02-21,9.4,Henrik Ræder Clausen,Meshsystem med WiFi 6.,Router, Höga topphastigheter," Hemskt dyr
","Efter installationen skapar de ­båda enheterna ett enda nätverk, vilket är grejen med meshtekniken. Därefter är det bara att ansluta enheter till nätverket utan att behöva bry sig om ifall man ska välja 2,4- eller 5-gigahertzbandet. Smidigt."
Belkin Wireless Charging Vent Mount 10 W,2020-01-17,7.9,Morten Skeldal Østergaard,Trådlös mobilladdare för instrumentbrädan.,Portabelt batteri, Välbyggd," Långsam laddning
","Laddningen sker med tio watt, men det går inte särskilt snabbt. Effekten är dock fullt tillräcklig för att hålla i gång telefonen under färden. Det fina är att det hela är så bekvämt och smidigt."
Samsung Galaxy Tab S5e,2020-01-17,8.3,Morten Skeldal Østergaard,Tunn och lätt surfplatta.,Pekdator, Bra prestanda, Bixby fattar inte svenska,"Skärmen är, som alltid från Samsung, en av höjdpunkterna. Den är stor, ljusstark och har en fantastisk kontrast där vit text på svart bakgrund nästan skär i ögonen."
Kaspersky Internet Security (2020),2020-01-18,9.6,Morten Skeldal Østergaard,Omfattande säkerhetspaket för datorn.,Program appar spel, Effektivt skydd,,
TP-Link Deco P9,2020-01-20,8.4,Henrik Ræder Clausen,Meshsystem med tre routrar via Wi-Fi och elledningarna.,Router, Höga topphastigheter," Begränsade administrationsmöjligheter
","Appen fungerar som administrationscentral för hela systemet. Det ser inte ut som om det går att styra särskilt mycket, men under menyn avancerat finns det en hel rad fina funktioner, till exempel trafikprioritering, vidarebefordring av portar och mycket annat som mer avancerade nätverksanvändare tycker är kul. Jämfört med traditionella routrar i samma prisklass är dock möjligheterna begränsade."
AVG Internet Security,2020-01-20,9.4,Niklas Ernst,Skydd för tio olika typer av enheter.,Program appar spel, Hög säkerhet," Lite krångliga inställningar
","Förutom virusskyddet stoppar AVG Internet Security attacker från hackare, och det går att utföra betalningar online extra säkert – både via internetbanken och i olika webbutiker. Det går även att begränsa åtkomsten till datorns webbkamera och välja att till exempel program måste få tillstånd av dig för att komma åt kameran. Eller så stänger man bara av kameran helt och hållet."
Adata SC685 Ultra Slim 500 GB,2020-01-19,9.4,Morten Skeldal Østergaard,Liten extern ssd.,Hårddisk, Extremt snabb," Högt pris/gigabyte
","Adatas ssd har ungefär samma mått som ett kreditkort, om än en hel del tjockare. Den väger så lite att den knappt märks när man stoppar ner den i en ficka eller väska."
Huawei Nova 5T,2020-01-20,9.0,Morten Skeldal Østergaard,Mellanklasstelefon med toppegenskaper.,Telefon, Bra kamera," Inget hörlursuttag
",Batteritiden är inget annat än toppen. Batteriet räcker lätt en vanlig dag med lite fotografering och Google Mapsande. Vid dagens slut finns det ändå ström kvar för ett halvt dygn till.
