Title,Product Name,URL,Source_int_ID,Verdict,Score,Pic,Category,Date,Summary,Author
Test: MSI MEG Z490 ACE,MSI MEG Z490 ACE,https://www.teknikhype.se/test-msi-meg-z490-ace/,43802,,8,https://www.teknikhype.se/wp-content/uploads/2020/06/MSI-MEG-Z490ACE-2.jpg,PC,2020-06-04,"Intel kommer med en ny generation processorer vilket betyder att det är dags för nya moderkort, men vad är nytt denna gången och är det värt uppgraderingen?",Ivan Spoljaric
Test: Jabra Elite 75t,Jabra Elite 75t,https://www.teknikhype.se/test-jabra-elite-75t/,42430,Fastän att Jabra Elite 75t inte är bäst på något så är det fortfarande riktigt bra in-ear headset som är kompakta och går att lita på samt är tåliga.,6,https://www.teknikhype.se/wp-content/uploads/2020/03/jabra-elite-75t-3.jpg,Ljud,2020-03-16,"True wireless-hörlurar när något vi ser allt mer utav idag och Jabra har varit med från början, nu är det dags för nästa generation.",Ivan Spoljaric
Test: Sonos Move,Sonos Move,https://www.teknikhype.se/test-sonos-move/,41798,"Sonos har gjort ett riktigt bra med sin första portabla högtalare men det finns funktioner som brister och batteritid som är långt ifrån godkänt. Men det positiva är att Sonos gör det dom gör bäst både med design, kvalitet och ljud. Move är helt klart två högtalare i ett som kan användas på flera sätt än bara portabel.",7.3,https://www.teknikhype.se/wp-content/uploads/2019/09/sonos-move-3.jpg,Ljud,2020-02-17,"Sonos har äntligen släppt sin första portabla högtalare som gör allt det som Sonos gör bäst och lite till denna gången, men till en hög prislapp tyvärr.",Ivan Spoljaric
Test: Philips Momentum 4K,Philips Momentum 4K,https://www.teknikhype.se/test-philips-momentum-4k/,42095,Philips har lyckats ta fram en snygg och bra skärm för gaming när man tittar på prestandan så är detta helt klart framtaget för gaming. Storleken på 42 tum är alldeles lagom och det enda vi egentligen saknar och kan klaga på är endast en HDMI-port samt en bökig fjärrkontroll. ,8.3,https://www.teknikhype.se/wp-content/uploads/2018/04/philips-momentum-img05.jpg,Övrigt,2020-03-02,Philips är redan kända för sina tv-apparater men hur är det med en skärm som är perfekt för gaming? När vi inte trodde det kunde bli bättre motbevisar Philips detta.,Ivan Spoljaric
Test: Astro C40 TR handkontroll,Astro C40 TR handkontroll,https://www.teknikhype.se/test-astro-c40-tr-handkontroll/,41916,"Astro har tidigare gjort bra gamingheadset som tyvärr skrämde många med sitt höga pris, nu gör dom samma sak med handkontrollen där man får en riktigt bra produkt men tyvärr kommer nog just prislappen vara en faktor som gör att många väljer bort den mot annat.",8,https://www.teknikhype.se/wp-content/uploads/2018/11/astro-C40TR-2.jpg,PC,2020-02-24,Astro är kända för sina hörlurar främst men nu har dom även tagit fram en handkontroll för både vanliga och professionella spelare.,Ivan Spoljaric
Test: Marshall Monitor II ANC,Marshall Monitor II ANC,https://www.teknikhype.se/test-marshall-monitor-ii-anc/,42234,Marshall gör det igen och imponerar med deras redan populära Monitor som nu har blivit ännu modernare och fått nya funktioner som nästan blivit som standard hos Marshall. Hur mycket bättre kan det egentligen bli och hur mycket nya funktioner kan det komma till?,8.8,https://www.teknikhype.se/wp-content/uploads/2020/03/marshall-monitor2-anc-1.jpg,Ljud,2020-03-10,Marshall har släppt en uppföljare till Monitor som nu är full med ny teknik men behåller samma stilrena och tuffa design som tidigare.,Ivan Spoljaric
Test: Logitech Ergo K860,Logitech Ergo K860,https://www.teknikhype.se/test-logitech-ergo-k860/,42222,Logitech har efter många studier och längre forskning lyckats ta fram ett ergonomiskt tangentbord som kommer passa dom flesta och att investera en mindre summa i till exempel ett tangentbord och mus är helt klart värt varenda krona.,9,https://www.teknikhype.se/wp-content/uploads/2020/03/logitech-ergo-K860-5.jpg,PC,2020-03-09,Logitech har äntligen tagit fram sin första helt ergonomiska tangentbord som förutom sin form även har lite andra funktioner som vi inte kan vara utan nu.,Ivan Spoljaric
Test: OnePlus 8 Pro,OnePlus 8 Pro,https://www.teknikhype.se/test-oneplus-8-pro/,43015,"OnePlus 8 Pro är utan tvekan årets telefon än så länge och det ända som Oneplus skulle kunna göra bättre eller justera med 8 Pro är prislappen, prislappen är lite högre och då finns det fler konkurrenter att välja bland. Jag skulle dock rekommendera 8 Pro på många sätt, men är man ute efter en bra kamera som används dagligen finns det andra alternativ. ",8.8,https://www.teknikhype.se/wp-content/uploads/2020/04/oneplus-8-pro-green-3.jpg,Mobil,2020-04-20,"OnePlus lyckas göra det som många andra inte gör, skapa en telefon som verkligen visar snabbheten i en telefon på flera sätt skärm, mjukvara och mycket mer.",Ivan Spoljaric
Test: Logitech StreamCam,Logitech StreamCam,https://www.teknikhype.se/test-logitech-streamcam/,43112,Logitech StreamCam är en perfekt kamera för nybörjare och en bra kamera när man vill lära sig att pilla med inställningar och få till en bra bild. Det går inte att jämföra med en fullstor videokamera eller systemkamera men det är heller inte ändamålet i StreamCam.,6,https://www.teknikhype.se/wp-content/uploads/2020/04/logitech-streamcam-1.jpg,Övrigt,2020-04-27,Hur mycket nytt har hänt med webbkameran? Logitech försöker och göra mindre justeringar men framför allt gör kameran betydligt större fysiskt.,Ivan Spoljaric
Test: Cooler Master MM711,Cooler Master MM711,https://www.teknikhype.se/test-cooler-master-mm711/,43686,Cooler Master överraskar med MM711 som är en mus som förtjänar uppmärksamhet och som är en mus jag tror kan bli en bra början för CM att fortsätta och jobba vidare på. Nu hoppas jag att nästa generation MM-mus kan bli komma med funktioner där vi kan justera just vikten bland annat.,7,https://www.teknikhype.se/wp-content/uploads/2020/05/cooler-master-m711-1.jpg,PC,2020-05-25,"Cooler Master har släppt en helt ny mus som är en riktigt lättviktare och full fokus på gaming, men är det vikten som varit det tidigare problemet?",Ivan Spoljaric
