Title,PIC,Date,Summary,Date Format,Product_Name,Source_internal_id,OCN,URL,Author,Rating,Scale
Gigabyte Aero 17 HDR XB (Intel 10th Gen) Review: Balanced Performance,https://cdn.mos.cms.futurecdn.net/kqco34JruaQiLursrmMkQC-1200-80.jpg,2020-04-15,New CPU and graphics silicon meets an AMOLED display.,2020-04-15 00:00:00,Gigabyte Aero 17 HDR XB (Intel 10th Gen),9oY7DXPgMTaRFP3o6auiAF,Laptops,https://www.tomshardware.com/uk/reviews/gigabyte-aero-17-hdr-xb,Matt Safford,3.5,5
MSI Clutch GM30 Gaming Mouse Review: Comfy RGB Pointer,https://cdn.mos.cms.futurecdn.net/roG2eRytLRhfNy7NShnFa3-1200-80.jpg,2020-04-05,Your palm will thank you for using the MSI Clutch GM30.,2020-04-05 00:00:00,MSI Clutch GM30 Gaming Mouse,qXwefhXLW5MrqTA3izJseb,Mice,https://www.tomshardware.com/uk/reviews/msi-clutch-gm30-gaming-mouse-review-comfy-rgb-pointer,Scharon Harding,4,5
JBL Quantum One Gaming Headset Review: Attempting a Quantum Leap,https://cdn.mos.cms.futurecdn.net/YW5b9grEwas3D2qvuLo2d-1200-80.jpg,2020-04-06,"Feature-rich, but 3D audio head tracking disappoints. ",2020-04-06 00:00:00,JBL Quantum One Gaming Headset,tVe83eiiGY8vw5fp685q3,Gaming Headsets,https://www.tomshardware.com/uk/reviews/jbl-quantum-one-gaming-headset,Scharon Harding,3.5,5
PNY XLR8 2x16GB DDR4-3200 Review: A Really Big Deal?,https://cdn.mos.cms.futurecdn.net/ZGGRZPDQh5xuHjeCGks5GA-1200-80.jpg,2020-04-06,This PNY XLR8 kit is a steal if you get it directly from PNY.,2020-04-06 00:00:00,PNY XLR8 2x16GB DDR4-3200,zCJb9aqPxpu6zSMQoAS7TP,Memory,https://www.tomshardware.com/uk/reviews/pny-xlr8-2x16gb-ddr4-3200,Thomas Soderstrom,3.5,5
Razer Basilisk X HyperSpeed Wireless Gaming Mouse Review: Value Performer,https://cdn.mos.cms.futurecdn.net/gvN9TDXqYZ9Ruc43f8zzFj-1200-80.jpg,2020-04-04,The Razer Basilisk X HyperSpeed punches above its weight class.,2020-04-04 00:00:00,Razer Basilisk X HyperSpeed Wireless Gaming Mouse,itjK5RRKX7cs57FRxJoL7S,Mice,https://www.tomshardware.com/uk/reviews/razer-basilisk-x-hyperspeed-wireless-gaming-mouse-review-value-performer,Nathaniel Mott,4,5
Gigabyte TRX40 Aorus Xtreme Review: Battle For Threadripper Supremacy,https://cdn.mos.cms.futurecdn.net/eq8usPvATjD3JqXjgBPCac-1200-80.jpg,2020-04-01,A multi-GPU monster board,2020-04-01 00:00:00,Gigabyte TRX40 Aorus Xtreme,ShHY7VmwrLGtArTJTfXLVC,Motherboards,https://www.tomshardware.com/uk/reviews/gigabyte-trx40-aorus-xtreme-review-battle-for-threadripper-supremacy,Thomas Soderstrom,4,5
Asus ROG Zephyrus G14 Review: AMD Ryzen 9 4900HS Tested,https://cdn.mos.cms.futurecdn.net/QcuQspcYu2TvnwoVQZgg5f-1200-80.jpg,2020-03-30,One of the best AMD-based laptops we’ve ever seen.,2020-03-30 00:00:00,Asus ROG Zephyrus G14,cPyJfEpiNTRxHgP8PRx6KV,Laptops,https://www.tomshardware.com/uk/reviews/asus-rog-zephyrus-g14,Andrew E. Freedman,4,5
"Dell XPS 13 (9300) Review: More Screen, Less Bezels",https://cdn.mos.cms.futurecdn.net/curAq4Khd5hU63qoRtkMek-1200-80.jpg,2020-04-02,Long battery life meets sleek design in the Dell XPS 13 (9300). ,2020-04-02 00:00:00,Dell XPS 13 (9300),ghWuhTJKr2cKEQ2Wa3rqrE,Laptops,https://www.tomshardware.com/uk/reviews/dell-xps-13-9300-2020,Avram Piltch,4,5
Sabrent Rocket NVMe 4.0 M.2 SSD Review: A High-Performance Value,https://cdn.mos.cms.futurecdn.net/HHMyWsaCchkAS2JmCZHaEj-1200-80.jpg,2020-04-02,Sabrent’s Rocket NVMe 4.0 offers unparalleled speed and endurance for the price.,2020-04-02 00:00:00,Sabrent Rocket NVMe 4.0 M.2 SSD,4wuhe9PgRksjh4FUJvpu5R,Storage,https://www.tomshardware.com/uk/reviews/sabrent-rocket-nvme-40-m2-ssd-review-a-high-performance-value,Sean Webster,4.5,5
"ASRock RX 5500 XT Phantom Gaming D Review: Inexpensive, Well-performing",https://cdn.mos.cms.futurecdn.net/TQhUvkWMwD8Vry6YUKrEfZ-1200-80.jpg,2020-03-31,"Inexpensive, cool running and performs well",2020-03-31 00:00:00,ASRock RX 5500 XT Phantom Gaming D,vEX6mVHTJLsthQMyFi4yFW,Graphics,https://www.tomshardware.com/uk/reviews/asrock-rx-5500-xt-phantom-gaming-d-review-inexpensive-well-performing,Joe Shields,4,5
Corsair Dark Core RGB Pro Review: Wireless FPS Upgraded,https://cdn.mos.cms.futurecdn.net/PWrPhSa9jLjMugEXDsD4bk-1200-80.jpg,2020-04-07,A solid upgrade over the non-Pro version. ,2020-04-07 00:00:00,Corsair Dark Core RGB Pro,H6efCgmzMNV3opANgRjSmZ,Mice,https://www.tomshardware.com/uk/reviews/corsair-dark-core-rgb-pro,Phil Iwaniuk,3.5,5
Cougar Aqua 240 Review: Affordable Performance,https://cdn.mos.cms.futurecdn.net/Vnuj9aDKmodRJGnkNVD4R5-1200-80.jpg,2020-04-09,Cougar’s Aqua 240 stalks its prey atop our performance 240 AIO charts.,2020-04-09 00:00:00,Cougar Aqua 240,S6znEe3uKqmgP3K4K5PPJP,Cooling,https://www.tomshardware.com/uk/reviews/cougar-aqua-240,Garrett Carver,4.5,5
GeIL Evo Spear Phantom Gaming DDR4-3200 Review: Cheap AMD Performance,https://cdn.mos.cms.futurecdn.net/NGXuMBY9EJcZZhprxr6QEK-1200-80.jpg,2020-04-10,Low price meets acceptable performance,2020-04-10 00:00:00,GeIL Evo Spear Phantom Gaming DDR4-3200,QUZSCadwJjouFt5ghPxxeW,Memory,https://www.tomshardware.com/uk/reviews/geil-evo-spear-phantom-gaming-ddr4-3200,Thomas Soderstrom,3,5
Asus ROG Zenith II Extreme Alpha Review: More Overkill?,https://cdn.mos.cms.futurecdn.net/HDschYDmV9b6KYxYv74Cym-1200-80.jpg,2020-04-13,"Still Premium, Still Pricey",2020-04-13 00:00:00,Asus ROG Zenith II Extreme Alpha,HtMd5kFiN3aEZMqwKBDUmR,Motherboards,https://www.tomshardware.com/uk/reviews/asus-rog-zenith-ii-extreme-alpha-review-more-overkill,Thomas Soderstrom,4,5
HP V6 2x8GB DDR4-3200 Review: Old Hand Or New Player?,https://cdn.mos.cms.futurecdn.net/X8vz2aDDcBKjRDvy8URgSf-1200-80.jpg,2020-04-14,HP-branded SSDs have often been competitive. Buy what about HP memory?,2020-04-14 00:00:00,HP V6 2x8GB DDR4-3200,GrNKXdcDqWNiXJi6WDTFQQ,Memory,https://www.tomshardware.com/uk/reviews/hp-v6-2x8gb-ddr4-3200,Thomas Soderstrom,2.5,5
BenQ EW3280U Review: 4K HDR WIth Superb Color and USB-C,https://cdn.mos.cms.futurecdn.net/SA4vLpjCMYb8bHrHRqyjp7-1200-80.jpg,2020-04-08,4K and extended color in a 32-inch IPS screen with Adaptive-Sync.,2020-04-08 00:00:00,BenQ EW3280U,BDXkwBvp4HnS7jMbb3BMCa,Monitors,https://www.tomshardware.com/uk/reviews/benq-ew3280u,Christian Eberle,4,5
Razer Basilisk V2 Gaming Mouse Review: A Better DeathAdder,https://cdn.mos.cms.futurecdn.net/zGrJvyTQth3MGjvE69H8Qa-1200-80.png,2020-04-11,Razer Basilisk V2 does everything well--for a price.,2020-04-11 00:00:00,Razer Basilisk V2 Gaming Mouse,2sJ6jMiXsajwJX7KXRfVTW,Mice,https://www.tomshardware.com/uk/reviews/razer-basilisk-v2,Nathaniel Mott,4.5,5
be quiet! Straight Power 11 550W Platinum Power Supply Review,https://cdn.mos.cms.futurecdn.net/uoZeAHLdU6suGfvmD725hX-1200-80.jpg,2020-04-12,The new Straight Power 11 model with 550W max power is now certified as 80 PLUS Platinum and uses a more capable platform.,2020-04-12 00:00:00,be quiet! Straight Power 11 550W Platinum Power Supply Review,8ZkKcdeRJFFWNhZpG26FMC,Components,https://www.tomshardware.com/uk/reviews/be-quiet-straight-power-11-550w-platinum,Aris Mpitziopoulos,3.5,5
Deepcool Assassin III Review: Slaying the Competition,https://cdn.mos.cms.futurecdn.net/svGwr4ngNWhd2Dijg3b3Fk-1200-80.jpg,2020-03-29,A thermal Assassin for enthusiast-level CPUs,2020-03-29 00:00:00,Deepcool Assassin III,59a4hHxV9eRPsboKWqQcuC,Cooling,https://www.tomshardware.com/uk/reviews/deepcool-assassin-iii-gamer-storm-cpu-air-cooler,Garrett Carver,4.5,5
Intel NUC 9 Extreme Kit (Ghost Canyon) Review: In Its Compute Element,https://cdn.mos.cms.futurecdn.net/wUReGTfXg3PNUKgDgNsshR-1200-80.jpg,2020-04-15,A pricey barebones PC with a new form factor,2020-04-15 00:00:00,Intel NUC 9 Extreme Kit (Ghost Canyon),P2x7dcXAJPuHb245j6w3qT,Mini PCs,https://www.tomshardware.com/uk/reviews/intel-nuc-9-extreme-kit-ghost-canyon,Andrew E. Freedman,3.5,5
"Seagate IronWolf 110 SATA SSD Review: Expensive, but Enduring ",https://cdn.mos.cms.futurecdn.net/UM4iDGwvob32mLSthD9nq8-1200-80.jpg,2020-03-12,Seagate’s IronWolf 110 is tweaked for NAS deployments.,2020-03-12 00:00:00,Seagate IronWolf 110 SATA SSD,zyFLo5iG7HuwQSXaAEevoG,Storage,https://www.tomshardware.com/uk/reviews/seagate-ironwolf-110-sata-ssd,Sean Webster,4,5
Apple MacBook Air (2020) Review: Return to Form,https://cdn.mos.cms.futurecdn.net/bdn9iUv2e3zCCJBiPw9F2P-1200-80.jpg,2020-04-14,"The new Apple MacBook Air hias an excellent keyboard and great speakers, but isn’t as powerful as Windows rivals.",2020-04-14 00:00:00,Apple MacBook Air (2020),ukjDfzwdi3Un2zWHeQG84K,Laptops,https://www.tomshardware.com/uk/reviews/macbook-air-2020,Andrew E. Freedman,4,5
"Corsair 275R Airflow Review: Impressive Performance, Outlandish Style",https://cdn.mos.cms.futurecdn.net/9ysA6bujGms7XFfvZV2Uoh-1200-80.jpg,2020-03-10,At just $80 / £68 the Corsair 275R Airflow packs impressive performance into an efficient internal layout.,2020-03-10 00:00:00,Corsair 275R Airflow,zsMLPMdbAwNiky5qDhcL8H,Cases,https://www.tomshardware.com/uk/reviews/corsair-275r-airflow,Zak Storey,4,5
Acer ConceptD CP7271K Review: A Do-Everything 4K Monitor,https://cdn.mos.cms.futurecdn.net/2LxFg2k292JW8HvgKPMwcU-1200-80.jpg,2020-03-11,A 27-incher that checks off both professional creatives’ and gamers' boxes.,2020-03-11 00:00:00,Acer ConceptD CP7271K,gTdKotKSSB2REcQkqH7PWE,Monitors,https://www.tomshardware.com/uk/reviews/acer-conceptd-cp7271k,Christian Eberle,4.5,5
OLOy WarHawk RGB 2x32GB DDR4-3200 Review: Lower-Priced 64GB Performance,https://cdn.mos.cms.futurecdn.net/cxJYyf3kGbXGTqSJWNdzZ3-1200-80.jpg,2020-03-18,Finding Value In 2x32GB,2020-03-18 00:00:00,OLOy WarHawk RGB 2x32GB DDR4-3200,QKkCPCY8LsiEKLM68Mcq9L,Memory,https://www.tomshardware.com/uk/reviews/oloy-warhawk-rgb-2x32gb-ddr4-3200,Thomas Soderstrom,3.5,5
Supermicro C9X299-PG300F Review: a Workstation Board for Gamers,https://cdn.mos.cms.futurecdn.net/23JFoKpzHdWWSCa8a85AqY-1200-80.jpg,2020-03-17,Is this “professional gaming” board a good value? ,2020-03-17 00:00:00,Supermicro C9X299-PG300F,an5Jd2XMyoGqQ9knd8tsx4,Motherboards,https://www.tomshardware.com/uk/reviews/supermicro-c9x299-pg300f,Jacob Terkelsen,3,5
HyperX Cloud Flight S Wireless Headset Review: A High Price for Qi Charging,https://cdn.mos.cms.futurecdn.net/CEX7isnkfcpYmqrVRYFUwL-1200-80.jpg,2020-03-14,"Solid cans with nifty features, but is it worth the price?",2020-03-14 00:00:00,HyperX Cloud Flight S Wireless Headset,ca8FNfdiS4RRmjsgzjs5ib,Gaming Headsets,https://www.tomshardware.com/uk/reviews/hyperx-cloud-flight-s-qi,Nate Rand,3,5
